simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
86	0.27723363	0.85686919	0.79754999	347.63771	1.4351791	1.4108797	-0.036089641	0.0093301764
87	3.8814029	-0.34580569	1.8368169	4181.0935	1.99804	2.0640149	0.0093526901	-0.0045923248
88	0.56705449	0.53023299	0.93772536	431.61738	1.5464965	1.5612321	-0.035775534	-0.0057727533
89	6.0878719	0.4483674	1.8628483	100.14878	1.2896903	1.5266161	-0.039420911	0.037587459
90	1.6716207	-0.81259341	1.4161733	146.33286	1.3956219	1.3482176	-0.041965826	0.029536129
91	2.8172398	-0.64517575	2.1398185	199.26521	1.2979006	1.3198649	-0.032872953	-0.027175404
92	0.53601931	0.45523148	0.74091476	851.51138	1.3936537	1.5799219	-0.015127416	0.0279994
93	4.9620497	1.363331	0.83113	836.77141	1.5902992	1.3174602	0.044359259	-0.046485068
94	2.1289086	0.7046711	2.554734	440.00452	1.4462914	1.2609571	-0.041805255	0.0090149339
95	0.31444664	-0.76507391	1.6948255	167.13672	1.2604937	1.3097729	-0.0036038438	0.015397571
96	4.7741119	-0.022494061	1.1141118	294.89808	1.4564369	1.242089	-0.04156387	-0.0051261204
97	1.2191877	-0.14589199	0.61579192	260.15014	1.4674328	1.4115097	0.013024811	-0.0074459151
98	1.9602538	0.69764788	0.23216416	383.25935	1.5173006	1.6017662	-0.030608678	-0.011164054
99	0.13616679	1.1552326	0.590588	491.21517	1.3502978	1.3373536	-0.035738268	0.02063998
100	5.3488975	0.71424288	0.36999163	344.00366	1.4377238	1.4765553	-0.0010964803	0.011467573
101	1.2212013	1.3617844	2.3317278	127.74122	1.4615925	1.2876292	0.014661726	-0.010390708
102	5.3718585	-0.92466847	2.7143407	389.69921	1.4079123	1.4713341	-0.015910319	0.00020863689
103	4.5540799	1.2205137	1.617918	325.43079	1.5670782	1.4384794	-0.0017019968	-0.049178345
104	2.447622	1.2308921	0.71473243	5527.944	2.7224171	2.4258832	-0.035246505	-0.012300191
105	3.5914157	1.0817035	0.39030658	403.42741	1.4152503	1.6523132	-0.024690585	0.030974634
106	2.6158273	-0.3192832	1.4291389	136.29169	1.3830108	1.4566847	-0.020539198	0.046331096
107	3.6232482	-1.0429928	2.8032567	489.39812	1.6146582	1.513843	-0.033198346	0.0046145342
108	4.3842144	0.00035804523	2.977227	623.85958	1.5840741	1.3619215	-0.0052312227	0.039702451
109	2.7478534	1.166954	2.5033937	298.3548	1.3252041	1.3907721	0.020834297	-0.011201533
110	1.0998779	0.18324504	0.45650245	382.72234	1.4407229	1.6085939	-0.037005999	-0.0097297595
111	4.6476739	0.10130288	0.24157796	541.06176	1.3970408	1.6769761	-0.0023011973	0.010189893
112	5.2268026	-0.20825069	0.49255223	333.64319	1.4435368	1.581798	-0.048662313	0.015902796
113	1.9852744	-1.3361165	2.8482559	849.50385	1.6183657	1.6393989	0.029163771	-0.011533928
114	3.4307938	0.64122526	2.5600182	445.32288	1.442191	1.6157691	0.029788436	0.017418612
115	6.0312702	0.49978689	1.2340786	236.45736	1.5668253	1.346102	0.033027328	-0.031443403
116	0.52133984	0.12459066	2.4383925	331.02847	1.4988197	1.3825552	0.040094269	0.037034683
117	1.2222786	0.99177116	2.0137482	391.91833	1.393948	1.4239717	0.026134476	-0.043458253
118	3.3250693	0.51664022	2.1316934	178.75626	1.2341057	1.4829567	0.0056284788	-0.0312791
119	3.7558125	0.38693987	1.3115605	164.76309	1.2410701	1.4580398	-0.026062661	-0.025466022
120	5.0411405	-1.1331709	2.8401796	464.30011	1.5705983	1.404542	-0.037776548	0.038401864
121	4.7356542	0.5973757	2.861039	721.20584	1.4746409	1.6261379	0.04530597	0.011619978
122	0.49164946	-0.82726102	0.96624213	257.94998	1.5923976	1.5132867	0.030311685	0.025458325
123	3.1548373	-0.10720731	2.8068919	3851.1951	2.2467825	1.9738941	0.04160096	-0.028390938
124	2.4929766	0.51910815	0.46699952	296.06872	1.4689971	1.4717031	-0.010716384	0.0081571648
125	2.7077719	-0.27087169	2.5127141	430.34379	1.5087406	1.393054	-0.022527936	0.014159032
126	0.89894849	0.33954903	0.95233338	4433.0192	2.3386024	2.4270175	0.040046968	-0.016323446
127	4.9980363	0.59401379	0.89392357	126.0839	1.2961647	1.3863002	-0.044430631	0.019477701
128	0.94355497	-0.23686472	0.69719857	141.64706	1.5533927	1.3675165	-0.044685992	0.017612941
129	1.2138507	0.8908627	2.5951844	286.31676	1.3365262	1.3301667	0.042114822	-0.024965691
130	3.098499	-0.37175419	0.65159435	220.77569	1.4427321	1.4134754	0.038900455	0.00082040094
131	2.9154949	0.070592939	2.557693	185.5107	1.3545276	1.315806	0.021735629	-0.0049728954
132	5.8301885	-0.5497207	0.99415863	401.61407	1.4399294	1.480208	0.0070556726	0.0016771756
133	2.1270545	-1.3705717	2.8272376	944.19401	1.4687084	1.4522873	0.026450483	-0.025448215
134	1.4549246	0.24253691	0.6855619	348.74491	1.2936481	1.423565	0.0337149	0.016905886
